,subject,score,display,question,dimension,question_number,qdirection,item
31984,sub108,2.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
31990,sub108,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
31996,sub108,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
32002,sub108,4.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
32008,sub108,2.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
32014,sub108,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
32020,sub108,2.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
32026,sub108,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
32032,sub108,3.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
32038,sub108,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
32044,sub108,3.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
32050,sub108,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
32056,sub108,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
32062,sub108,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
32068,sub108,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
32074,sub108,4.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
32080,sub108,4.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
32086,sub108,2.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
32098,sub108,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
32104,sub108,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
32110,sub108,2.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
32116,sub108,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
32122,sub108,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
32134,sub108,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
32140,sub108,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
32146,sub108,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
32164,sub108,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
32170,sub108,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
32176,sub108,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
32182,sub108,4.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
32188,sub108,0.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
32194,sub108,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
32204,sub109,2.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
32210,sub109,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
32216,sub109,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
32222,sub109,1.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
32228,sub109,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
32234,sub109,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
32240,sub109,2.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
32246,sub109,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
32252,sub109,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
32258,sub109,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
32264,sub109,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
32270,sub109,2.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
32276,sub109,3.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
32288,sub109,2.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
32294,sub109,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
32300,sub109,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
32306,sub109,3.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
32312,sub109,4.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
32318,sub109,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
32324,sub109,2.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
32330,sub109,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
32336,sub109,3.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
32342,sub109,2.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
32354,sub109,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
32366,sub109,2.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
32372,sub109,3.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
32378,sub109,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
32384,sub109,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
32390,sub109,2.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
32396,sub109,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
32402,sub109,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
32408,sub109,2.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
32414,sub109,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
32420,sub109,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
32426,sub109,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
32432,sub109,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
32438,sub109,2.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
32444,sub109,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
32450,sub109,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
32456,sub109,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
32462,sub109,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
32480,sub109,2.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
32486,sub109,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
32492,sub109,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
32502,sub110,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
32508,sub110,2.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
32520,sub110,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
32532,sub110,2.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
32538,sub110,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
32544,sub110,1.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
32550,sub110,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
32556,sub110,2.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
32562,sub110,2.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
32568,sub110,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
32574,sub110,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
32586,sub110,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
32592,sub110,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
32598,sub110,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
32604,sub110,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
32610,sub110,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
32616,sub110,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
32622,sub110,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
32628,sub110,1.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
32634,sub110,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
32646,sub110,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
32658,sub110,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
32664,sub110,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
32670,sub110,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
32676,sub110,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
32682,sub110,2.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
32688,sub110,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
32694,sub110,3.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
32700,sub110,4.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
32706,sub110,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
32712,sub110,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
32718,sub110,4.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
32724,sub110,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
32730,sub110,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
32736,sub110,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
32742,sub110,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
32748,sub110,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
32754,sub110,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
32760,sub110,1.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
32766,sub110,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
32772,sub110,2.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
32778,sub110,2.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
32784,sub110,2.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
32790,sub110,2.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
32800,sub111,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
32806,sub111,2.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
32812,sub111,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
32818,sub111,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
32824,sub111,0.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
32836,sub111,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
32842,sub111,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
32848,sub111,3.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
32854,sub111,4.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
32860,sub111,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
32866,sub111,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
32872,sub111,0.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
32878,sub111,2.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
32884,sub111,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
32890,sub111,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
32896,sub111,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
32902,sub111,4.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
32908,sub111,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
32920,sub111,2.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
32926,sub111,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
32932,sub111,4.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
32944,sub111,4.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
32950,sub111,3.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
32956,sub111,3.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
32962,sub111,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
32968,sub111,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
32974,sub111,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
32986,sub111,1.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
32992,sub111,1.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
32998,sub111,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
33004,sub111,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
33010,sub111,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
33016,sub111,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
33022,sub111,1.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
33028,sub111,0.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
33034,sub111,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
33040,sub111,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
33046,sub111,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
33052,sub111,4.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
33058,sub111,4.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
33064,sub111,3.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
33070,sub111,0.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
33076,sub111,4.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
33082,sub111,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
33098,sub112,4.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
33110,sub112,3.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
33116,sub112,4.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
33128,sub112,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
33134,sub112,3.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
33140,sub112,4.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
33146,sub112,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
33152,sub112,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
33158,sub112,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
33164,sub112,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
33170,sub112,4.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
33182,sub112,4.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
33188,sub112,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
33194,sub112,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
33200,sub112,4.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
33206,sub112,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
33212,sub112,4.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
33218,sub112,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
33230,sub112,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
33236,sub112,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
33242,sub112,2.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
33248,sub112,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
33254,sub112,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
33260,sub112,4.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
33266,sub112,0.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
33272,sub112,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
33278,sub112,4.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
33284,sub112,4.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
33290,sub112,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
33296,sub112,4.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
33302,sub112,4.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
33314,sub112,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
33320,sub112,4.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
33326,sub112,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
33332,sub112,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
33338,sub112,4.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
33344,sub112,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
33350,sub112,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
33356,sub112,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
33362,sub112,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
33368,sub112,4.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
33374,sub112,0.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
33380,sub112,4.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
33386,sub112,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
33396,sub113,2.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
33402,sub113,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
33408,sub113,4.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
33414,sub113,2.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
33426,sub113,2.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
33432,sub113,2.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
33438,sub113,0.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
33444,sub113,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
33450,sub113,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
33456,sub113,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
33462,sub113,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
33468,sub113,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
33474,sub113,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
33480,sub113,4.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
33486,sub113,0.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
33492,sub113,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
33498,sub113,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
33504,sub113,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
33510,sub113,0.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
33516,sub113,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
33522,sub113,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
33528,sub113,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
33534,sub113,4.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
33540,sub113,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
33546,sub113,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
33552,sub113,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
33564,sub113,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
33570,sub113,3.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
33576,sub113,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
33582,sub113,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
33588,sub113,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
33594,sub113,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
33600,sub113,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
33606,sub113,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
33612,sub113,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
33624,sub113,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
33630,sub113,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
33642,sub113,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
33648,sub113,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
33660,sub113,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
33666,sub113,0.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
33672,sub113,2.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
33678,sub113,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
33684,sub113,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
33700,sub114,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
33712,sub114,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
33718,sub114,1.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
33724,sub114,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
33730,sub114,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
33736,sub114,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
33742,sub114,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
33748,sub114,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
33754,sub114,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
33760,sub114,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
33766,sub114,2.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
33772,sub114,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
33778,sub114,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
33784,sub114,2.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
33796,sub114,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
33802,sub114,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
33808,sub114,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
33814,sub114,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
33820,sub114,2.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
33826,sub114,2.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
33832,sub114,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
33838,sub114,3.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
33844,sub114,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
33856,sub114,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
33862,sub114,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
33868,sub114,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
33874,sub114,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
33880,sub114,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
33886,sub114,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
33892,sub114,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
33898,sub114,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
33904,sub114,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
33910,sub114,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
